Season,Baker,Age,Gender,Image Link
9,Manon,26,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-3-370x370.jpg
9,Rahul,30,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-10-370x370.jpg
9,RubyB,29,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-370x370.jpg
9,Terry,56,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-11-370x370.jpg
10,Alice,28,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Alice-1080-450x450.jpg
10,Amelia,24,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Amelia-1080-450x450.jpg
10,DanC,32,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Dan-1080-450x450.jpg
10,DavidA,36,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-David-1080-450x450.jpg
10,Helena,40,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Helena-1080-450x450.jpg
10,Henry,20,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10_Henry-1080-450x450.jpg
10,Jamie,20,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Jamie-1080-450x450.jpg
10,MichaelC,26,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Michael-1080-450x450.jpg
10,Michelle,35,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Michelle-1080-450x450.jpg
10,Phil,56,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Phil-1080-450x450.jpg
10,Priya,34,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Priya-1080-450x450.jpg
10,Rosie,28,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Rosie-1080-450x450.jpg
10,Steph,28,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/08/GBBO-Bakers-S10-Steph-1080-450x450.jpg
11,Dave,30,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Dave-450x450.jpg
11,Hermine,39,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Hermine-450x450.jpg
11,Laura,31,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Laura-450x450.jpg
11,Linda,61,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Linda-450x450.jpg
11,Loriea,27,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Loriea-450x450.jpg
11,Lottie,31,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Lottie1-450x450.jpg
11,Mak,51,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Mak-450x450.jpg
11,Marc,51,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Marc-450x450.jpg
11,MarkL,32,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Mark-450x450.jpg
11,PeterS,20,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Peter-450x450.jpg
11,RowanW,55,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Rowan-450x450.jpg
11,Sura,31,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2020/09/Sura-450x450.jpg
12,Amanda,56,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2021/09/AMANDA-450x450.jpg
12,Chigs,40,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2021/09/CHIGS-450x450.jpg
12,Crystelle,26,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2021/09/CRYSTELLE-450x450.jpg
12,Freya,19,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2021/09/FREYA-450x450.jpg
12,George,34,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2021/09/GEORGE-450x450.jpg
12,Giuseppe,45,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2021/09/GUISEPPE-450x450.jpg
12,Jairzeno,51,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2021/09/JAIRZENO-450x450.jpg
12,Jürgen,56,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2021/09/JURGEN-450x450.jpg
12,Lizzie,28,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2021/09/LIZZIE-450x450.jpg
12,Maggie,70,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2021/09/MAGGIE-450x450.jpg
12,Rochica,27,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2021/09/ROCHICA-450x450.jpg
12,TomF,28,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2021/09/TOM-450x450.jpg
13,Abdul,29,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2022/09/74086_S6_The-Great-British-Bake-Off-S6-24-scaled-450x450-1.jpg
13,Carole,59,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2022/09/74086_S6_The-Great-British-Bake-Off-S6-40-450x450-1.jpg
13,Dawn,60,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2022/09/74086_S6_The-Great-British-Bake-Off-S6-28-450x450-1.jpg
13,JamesD,25,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2022/09/74086_S6_The-Great-British-Bake-Off-S6-65-450x450-1.jpg
13,Janusz,34,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2022/09/74086_S6_The-Great-British-Bake-Off-S6-75-450x450-1.jpg
13,Kevin,33,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2022/09/74086_S6_The-Great-British-Bake-Off-S6-38-450x450-1.jpg
13,Maisam,18,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2022/09/74086_S6_The-Great-British-Bake-Off-S6-92-450x450-1.jpg
13,Maxy,29,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2022/09/74086_S6_The-Great-British-Bake-Off-S6-12-450x450-1.jpg
13,Rebs,23,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2022/09/74086_S6_The-Great-British-Bake-Off-S6-22-450x450-1.jpg
13,Sandro,30,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2022/09/74086_S6_The-Great-British-Bake-Off-S6-35-450x450-1.jpg
13,Syabira,32,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2022/09/74086_S6_The-Great-British-Bake-Off-S6-370x370.jpg
13,Will,45,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2022/09/74086_S6_The-Great-British-Bake-Off-S6-15-450x450-1.jpg
14,Abbi,27,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2023/09/BakersStudio_3144-scaled-450x450-1.jpg
14,Amos,43,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2023/09/BakersStudio_3312-scaled-450x450-1.jpg
14,Cristy,33,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2023/09/BakersStudio_3407-scaled-450x450-1.jpg
14,DanH,42,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2023/09/BakersStudio_3110-scaled-450x450-1.jpg
14,Dana,25,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2023/09/BakersStudio_3278-Large-450x450-1.jpeg
14,Josh,27,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2023/09/BakersStudio_3373-scaled-450x450-1.jpg
14,KeithB,60,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2023/09/BakersStudio_3342-scaled-450x450-1.jpg
14,Matty,28,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2023/09/BakersStudio_3160-scaled-450x450-1.jpg
14,Nicky,52,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2023/09/BakersStudio_3246-scaled-450x450-1.jpg
14,RowanC,21,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2023/09/BakersStudio_3221-scaled-450x450-1.jpg
14,Saku,50,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2023/09/BakersStudio_3448-Large-450x450-1.jpeg
14,Tasha,27,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2023/09/BakersStudio_3191-scaled-450x450-1.jpg
